DOID,hpoid
DOID:0050580,HP:0012735
DOID:0050580,HP:0010550
DOID:0050580,HP:0001332
DOID:0050580,HP:0001789
DOID:0050580,HP:0000017
DOID:0050580,HP:0000969
DOID:0050580,HP:0001249
DOID:0050580,HP:0004417
DOID:0050580,HP:0000989
DOID:0050580,HP:0001513
DOID:0050580,HP:0001250
DOID:0050580,HP:0000613
DOID:0050580,HP:0000407
DOID:0050580,HP:0100520
DOID:0050580,HP:0011868
DOID:0050580,HP:0002094
DOID:0050580,HP:0003401
DOID:0050580,HP:0003202
DOID:0050580,HP:0004324
DOID:0050580,HP:0031005
DOID:0050580,HP:0012378
DOID:0050580,HP:0001324
DOID:0050580,HP:0025502
DOID:0050580,HP:0010702
DOID:0050580,HP:0002301
DOID:0050580,HP:0012531
DOID:0050580,HP:0001252
DOID:0050580,HP:0002315
DOID:0050580,HP:0000979
DOID:0050580,HP:0000965
DOID:0050580,HP:0001945
DOID:0050580,HP:0003470
DOID:0050580,HP:0000961
DOID:0050580,HP:0003419
DOID:0050589,HP:0000093
DOID:0050589,HP:0002019
DOID:0050589,HP:0000360
DOID:0050589,HP:0012592
DOID:0050589,HP:0012377
DOID:0050589,HP:0012735
DOID:0050589,HP:0002039
DOID:0050589,HP:0000969
DOID:0050589,HP:0001513
DOID:0050589,HP:0001250
DOID:0050589,HP:0002014
DOID:0050589,HP:0100739
DOID:0050589,HP:0002018
DOID:0050589,HP:0000407
DOID:0050589,HP:0004326
DOID:0050589,HP:0001824
DOID:0050589,HP:0002829
DOID:0050589,HP:0004324
DOID:0050589,HP:0012378
DOID:0050589,HP:0012531
DOID:0050589,HP:0410281
DOID:0050589,HP:0002027
DOID:0050589,HP:0002315
DOID:0050589,HP:0002013
DOID:0050589,HP:0000961
DOID:0050589,HP:0001945
DOID:0050589,HP:0100812
DOID:0050606,HP:0000407
DOID:0050606,HP:0001609
DOID:0050606,HP:0001249
DOID:0050606,HP:0002315
DOID:0050606,HP:0000989
DOID:0050606,HP:0001250
DOID:0050606,HP:0012531
DOID:0050606,HP:0000613
DOID:0050606,HP:0000957
DOID:0050606,HP:0000365
DOID:0050606,HP:0001945
DOID:0050606,HP:0002027
DOID:0050606,HP:0000969
DOID:0050700,HP:0000093
DOID:0050700,HP:0000551
DOID:0050700,HP:0002321
DOID:0050700,HP:0000575
DOID:0050700,HP:0002072
DOID:0050700,HP:0001336
DOID:0050700,HP:0031364
DOID:0050700,HP:0001259
DOID:0050700,HP:0012592
DOID:0050700,HP:0001824
DOID:0050700,HP:0012735
DOID:0050700,HP:0000618
DOID:0050700,HP:0010550
DOID:0050700,HP:0012416
DOID:0050700,HP:0001332
DOID:0050700,HP:0001789
DOID:0050700,HP:0000969
DOID:0050700,HP:0000602
DOID:0050700,HP:0002375
DOID:0050700,HP:0025406
DOID:0050700,HP:0001249
DOID:0050700,HP:0007209
DOID:0050700,HP:0004417
DOID:0050700,HP:0000961
DOID:0050700,HP:0002883
DOID:0050700,HP:0001513
DOID:0050700,HP:0001250
DOID:0050700,HP:0002248
DOID:0050700,HP:0002014
DOID:0050700,HP:0000957
DOID:0050700,HP:0100739
DOID:0050700,HP:0001251
DOID:0050700,HP:0002018
DOID:0050700,HP:0000407
DOID:0050700,HP:0002105
DOID:0050700,HP:0004326
DOID:0050700,HP:0100520
DOID:0050700,HP:0002094
DOID:0050700,HP:0001279
DOID:0050700,HP:0002203
DOID:0050700,HP:0003202
DOID:0050700,HP:0002486
DOID:0050700,HP:0002300
DOID:0050700,HP:0012378
DOID:0050700,HP:0004324
DOID:0050700,HP:0010702
DOID:0050700,HP:0001324
DOID:0050700,HP:0001289
DOID:0050700,HP:0002301
DOID:0050700,HP:0012531
DOID:0050700,HP:0002487
DOID:0050700,HP:0001252
DOID:0050700,HP:0002027
DOID:0050700,HP:0002315
DOID:0050700,HP:0002104
DOID:0050700,HP:0100749
DOID:0050700,HP:0000952
DOID:0050700,HP:0000979
DOID:0050700,HP:0003470
DOID:0050700,HP:0030148
DOID:0050700,HP:0000651
DOID:0050700,HP:0001337
DOID:0050700,HP:0002013
DOID:0050700,HP:0000365
DOID:0050700,HP:0003641
DOID:0050700,HP:0001945
DOID:0050700,HP:0100660
DOID:0050700,HP:0001681
DOID:0050741,HP:0002045
DOID:0050741,HP:0012377
DOID:0050741,HP:0012735
DOID:0050741,HP:0000618
DOID:0050741,HP:0010550
DOID:0050741,HP:0002248
DOID:0050741,HP:0002305
DOID:0050741,HP:0100739
DOID:0050741,HP:0001251
DOID:0050741,HP:0011868
DOID:0050741,HP:0002094
DOID:0050741,HP:0012378
DOID:0050741,HP:0001289
DOID:0050741,HP:0000646
DOID:0050741,HP:0002380
DOID:0050741,HP:0002445
DOID:0050741,HP:0002013
DOID:0050741,HP:0003641
DOID:0050741,HP:0001945
DOID:0050741,HP:0000551
DOID:0050741,HP:0002385
DOID:0050741,HP:0001923
DOID:0050741,HP:0001336
DOID:0050741,HP:0001259
DOID:0050741,HP:0000360
DOID:0050741,HP:0002039
DOID:0050741,HP:0000989
DOID:0050741,HP:0001513
DOID:0050741,HP:0001257
DOID:0050741,HP:0001250
DOID:0050741,HP:0041051
DOID:0050741,HP:0002105
DOID:0050741,HP:0004326
DOID:0050741,HP:0002301
DOID:0050741,HP:0030784
DOID:0050741,HP:0410281
DOID:0050741,HP:0000979
DOID:0050741,HP:0000473
DOID:0050741,HP:0002591
DOID:0050741,HP:0000365
DOID:0050741,HP:0005101
DOID:0050741,HP:0003419
DOID:0050741,HP:0000575
DOID:0050741,HP:0001686
DOID:0050741,HP:0002063
DOID:0050741,HP:0000969
DOID:0050741,HP:0000602
DOID:0050741,HP:0001605
DOID:0050741,HP:0001249
DOID:0050741,HP:0002883
DOID:0050741,HP:0002066
DOID:0050741,HP:0025116
DOID:0050741,HP:0000407
DOID:0050741,HP:0100520
DOID:0050741,HP:0003401
DOID:0050741,HP:0002300
DOID:0050741,HP:0003202
DOID:0050741,HP:0031005
DOID:0050741,HP:0002829
DOID:0050741,HP:0025502
DOID:0050741,HP:0031284
DOID:0050741,HP:0012531
DOID:0050741,HP:0002027
DOID:0050741,HP:0002104
DOID:0050741,HP:0100749
DOID:0050741,HP:0031258
DOID:0050741,HP:0030148
DOID:0050741,HP:0040184
DOID:0050741,HP:0010522
DOID:0050741,HP:0000651
DOID:0050741,HP:0001337
DOID:0050741,HP:0001007
DOID:0050741,HP:0000093
DOID:0050741,HP:0002321
DOID:0050741,HP:0003418
DOID:0050741,HP:0002072
DOID:0050741,HP:0002019
DOID:0050741,HP:0000103
DOID:0050741,HP:0031364
DOID:0050741,HP:0012592
